start_time,end_time,note,average_frequency
0.0,0.2,A4,438.93455215357
0.30000000000000004,0.6,A4,439.9215430497855
0.6,0.7999999999999999,A5,887.2397195343481
1.2,1.4000000000000001,E4,332.1791119386654
1.7000000000000004,1.9000000000000006,A3,220.12026140123373
2.2000000000000006,2.400000000000001,F#4,370.2917921703422
2.600000000000001,3.0000000000000013,F#4,371.11385357061795
3.700000000000002,3.900000000000002,E4,331.41598695734103
4.000000000000002,4.200000000000001,E4,331.9026844374374
5.4999999999999964,5.699999999999996,C#4,278.59136290845885
6.099999999999994,6.299999999999994,C#5,557.4356805466039
6.299999999999994,6.499999999999993,C#4,276.0903344677269
6.499999999999993,6.699999999999992,B3,250.5319780935746
7.899999999999988,8.399999999999986,A4,439.4475272755086
7.999999999999988,8.199999999999987,C#4,275.5638528089505
8.299999999999986,8.699999999999985,E4,330.8609096484218
8.399999999999986,8.699999999999985,A3,219.56859916554208
8.799999999999985,9.199999999999983,A3,219.36884433558134
14.499999999999964,15.399999999999961,A4,440.23381065202074
15.499999999999961,16.19999999999996,A4,440.0856691913268
16.19999999999996,17.199999999999974,E5,661.2837137128209
17.299999999999976,18.19999999999999,E5,661.2794916820071
18.19999999999999,19.200000000000003,F#5,736.7621180782019
19.300000000000004,19.70000000000001,F#5,738.1998470589336
20.200000000000017,21.90000000000004,E5,660.995503319462
22.300000000000047,23.10000000000006,D5,589.1404845099864
23.400000000000063,23.700000000000067,D5,588.9074822485057
23.800000000000068,24.00000000000007,D6,1164.9946802200689
24.100000000000072,24.500000000000078,C#5,555.5867400024251
25.000000000000085,25.800000000000097,C#5,555.2892946239356
25.900000000000098,26.900000000000112,B4,494.77871672143766
27.000000000000114,27.40000000000012,B4,492.61851635412796
27.50000000000012,27.800000000000125,B4,491.5616056802805
27.900000000000126,29.60000000000015,A4,439.04897356667834
29.700000000000152,29.900000000000155,A4,439.43556607349126
30.000000000000156,30.800000000000168,E5,661.6540449788255
30.90000000000017,31.70000000000018,E5,661.4616308885472
31.70000000000018,32.30000000000019,D5,587.2680657026752
33.1000000000002,33.3000000000002,D5,589.3128593359345
33.400000000000205,33.90000000000021,C#5,558.9532435274034
34.200000000000216,34.50000000000022,C#5,558.6031247065566
34.60000000000022,34.800000000000225,C#5,558.2989205340256
35.10000000000023,35.40000000000023,C#5,558.4749331936641
35.500000000000234,36.80000000000025,B4,492.4045423577112
37.50000000000026,38.400000000000276,E5,661.4857671658604
38.50000000000028,39.60000000000029,E5,661.3269035511354
39.40000000000029,40.1000000000003,D5,586.1980817423163
40.2000000000003,40.400000000000304,D6,1173.1836452525095
40.400000000000304,40.70000000000031,D5,588.9838481112679
40.80000000000031,41.200000000000315,D5,588.0266610638811
41.200000000000315,41.70000000000032,C#5,559.6962725571806
42.500000000000334,43.00000000000034,C#5,559.1120192187097
43.200000000000344,44.40000000000036,B4,495.13278694009927
45.00000000000037,47.1000000000004,A4,439.84255467828024
47.0000000000004,48.70000000000042,E5,661.4860519950884
48.900000000000425,49.80000000000044,F#5,737.9057645568978
49.90000000000044,50.60000000000045,F#5,736.60290964633
50.80000000000045,52.30000000000047,E5,660.9427791760307
52.60000000000048,53.00000000000048,D5,589.3061035204785
53.60000000000049,53.800000000000495,D5,586.1508732851189
54.1000000000005,54.4000000000005,D5,592.5955178758444
54.70000000000051,55.0,C#5,556.7334492892236
